x,y,Acarospora_gwynnii cloglog values
-2466487.3166294,1196668.83529232,0.02642384
-2386700.81436594,1365714.9990339,0.014477523
-2472232.97715722,1268576.36603645,0.115769304
-2503551.0216109,1218525.47002202,0.027973212
-2504774.95848793,1216680.1906665,0.027973212
-2474816.54347529,1277118.88149933,0.026900148
-2430302.25024472,1452985.40820586,0.3289889
-2524400.3517855,1289211.20212553,0.16353704
-2469123.90205512,1602939.72741898,0.033745863
-2631287.09278694,1496597.75315835,0.028467417
-2629291.85993771,1594350.95432252,0.008575621
-2627913.74769357,1610602.12776021,0.023387277
-2635673.498446,1621432.7671627,0.021261431
-1867254.78403481,734567.638006158,0.46133944
-1880248.32863051,801642.102122726,0.57991505
-1900701.59319288,757149.674942628,0.37471294
-1919853.47618292,764479.943840055,0.3460276
-1829065.48670721,965665.996476289,0.9756214
-1842435.54264249,953868.732070356,0.9499104
-1839787.71302744,975186.625496042,0.9594186
-1841044.00125363,973481.323003556,0.96759444
-1846813.77083683,969202.978955847,0.97054935
-1840544.78595043,991030.017111752,0.97085977
-1869604.26034371,935919.136547331,0.894407
-1843214.6701941,991435.810646465,0.9643895
-1870480.61401148,944192.221396098,0.9228989
-1952193.54336681,772159.646010498,0.32106397
-1956849.0565149,775956.815948035,0.2567008
-1972895.08487135,734268.954377713,0.43941346
-2048265.22535679,775963.496306165,0.2496985
-2149428.99057318,565434.123810298,0.15478586
-2149417.60537442,565816.206393399,0.15478586
-2149417.60537442,565816.206393399,0.15478586
-1995129.70381721,1012707.27824026,0.6520971
-2084257.59572425,828606.940483649,0.30049545
-2003726.37293032,1016511.91102774,0.6288736
-2003730.89476826,1016540.14871756,0.6288736
-2006918.4862261,1018182.83420008,0.62596256
-2017317.73824267,999476.775748661,0.6223179
-2017410.94851753,999513.308865739,0.6223179
-2115546.59433437,770947.410078187,0.34233636
-2027158.21851359,1002714.83981118,0.6086609
-2190536.12430792,933249.489901711,0.20676266
-2449434.10963524,1186664.35187042,0.021501733
-2453029.60954493,1190328.37000344,0.041676573
-2453029.60954493,1190328.37000344,0.041676573
-2288987.3605453,913856.655324266,0.0342478
-2464411.24164046,1546209.37332706,0.17680475
-2464291.43968807,1599107.48879386,0.13730694
-2465262.57705245,1599737.05971877,0.13730694
-2464815.50827519,1601390.4870103,0.048610423
-2465962.32168873,1599836.41366826,0.13730694
-2465624.88991117,1601617.71226252,0.048610423
-2442689.87437761,1661115.64464722,0.045309935
-2143900.93329888,892825.06500012,0.2019055
-2196790.82032094,926671.079541102,0.17683573
-2205508.1238483,934771.498940679,0.078840554
-2214972.26818934,930253.07422458,0.015604166
-2280543.88314427,880542.018061145,0.076099925
-2276694.71128246,903329.086350651,0.029048422
-2277068.01772189,902519.18509296,0.029048422
-2285926.96358424,891934.716240996,0.16689204
-2268927.17762605,939203.884285848,0.25602946
-2261517.33407193,957284.440556591,0.016054036
-2290073.84320192,905614.335817293,0.121734716
-2287639.9844075,914527.603820092,0.0342478
-2289882.86905365,919821.432855136,0.09106672
-2290888.66413929,918253.475245578,0.08918529
-2273352.98975803,964981.092507093,0.017998066
-2301004.38003793,929311.561919306,0.09377151
-2327110.48288228,931728.196652567,0.26199716
-2351078.45077617,970987.942074572,0.07984067
-2285173.99325334,1187653.05848885,0.21048531
-2331141.05526458,1158202.88196822,0.12891266
-2338325.78402331,1210146.46860262,0.3090712
-2428339.5132885,1154894.85972534,0.05950451
